Senate Vote #48 2019-03-13T18:04:00 - S.J.Res. 7: A joint resolution to direct the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress.,,,,
person,state,district,name,party
300002,TN,,Sen. Lamar Alexander [R],Republican
300018,WA,,Sen. Maria Cantwell [D],Democrat
300019,DE,,Sen. Thomas Carper [D],Democrat
300025,ME,,Sen. Susan Collins [R],Republican
300027,TX,,Sen. John Cornyn [R],Republican
300030,ID,,Sen. Michael Crapo [R],Republican
300038,IL,,Sen. Richard Durbin [D],Democrat
300041,WY,,Sen. Michael Enzi [R],Republican
300043,CA,,Sen. Dianne Feinstein [D],Democrat
300047,SC,,Sen. Lindsey Graham [R],Republican
300048,IA,,Sen. Charles “Chuck” Grassley [R],Republican
300055,OK,,Sen. James “Jim” Inhofe [R],Republican
300065,VT,,Sen. Patrick Leahy [D],Democrat
300072,KY,,Sen. Mitch McConnell [R],Republican
300075,AK,,Sen. Lisa Murkowski [R],Republican
300076,WA,,Sen. Patty Murray [D],Democrat
300081,RI,,Sen. John “Jack” Reed [D],Democrat
300083,KS,,Sen. Pat Roberts [R],Republican
300087,NY,,Sen. Charles “Chuck” Schumer [D],Democrat
300089,AL,,Sen. Richard Shelby [R],Republican
300093,MI,,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Sen. Ron Wyden [D],Democrat
400013,WI,,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Sen. Marsha Blackburn [R],Republican
400034,MO,,Sen. Roy Blunt [R],Republican
400040,AR,,Sen. John Boozman [R],Republican
400050,OH,,Sen. Sherrod Brown [D],Democrat
400054,NC,,Sen. Richard Burr [R],Republican
400061,WV,,Sen. Shelley Capito [R],Republican
400064,MD,,Sen. Benjamin Cardin [D],Democrat
400194,GA,,Sen. John “Johnny” Isakson [R],Republican
400253,MA,,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Sen. Robert “Bob” Menendez [D],Democrat
400284,KS,,Sen. Jerry Moran [R],Republican
400325,OH,,Sen. Robert “Rob” Portman [R],Republican
400357,VT,,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Sen. Patrick “Pat” Toomey [R],Republican
400413,NM,,Sen. Tom Udall [D],Democrat
400415,MD,,Sen. Chris Van Hollen Jr. [D],Democrat
400432,MS,,Sen. Roger Wicker [R],Republican
400546,SD,,Sen. John Thune [R],Republican
412194,CT,,Sen. Christopher Murphy [D],Democrat
412200,HI,,Sen. Mazie Hirono [D],Democrat
412223,NY,,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Sen. Amy Klobuchar [D],Democrat
412244,MT,,Sen. Jon Tester [D],Democrat
412246,PA,,Sen. Robert “Bob” Casey Jr. [D],Democrat
412247,RI,,Sen. Sheldon Whitehouse [D],Democrat
412251,WY,,Sen. John Barrasso [R],Republican
412269,LA,,Sen. Bill Cassidy [R],Republican
412281,NM,,Sen. Martin Heinrich [D],Democrat
412305,MI,,Sen. Gary Peters [D],Democrat
412321,VA,,Sen. Mark Warner [D],Democrat
412322,ID,,Sen. James Risch [R],Republican
412323,NH,,Sen. Jeanne Shaheen [D],Democrat
412325,OR,,Sen. Jeff Merkley [D],Democrat
412330,CO,,Sen. Michael Bennet [D],Democrat
412390,DE,,Sen. Chris Coons [D],Democrat
412391,WV,,Sen. Joe Manchin III [D],Democrat
412406,CO,,Sen. Cory Gardner [R],Republican
412428,IN,,Sen. Todd Young [R],Republican
412464,OK,,Sen. James Lankford [R],Republican
412471,SC,,Sen. Tim Scott [R],Republican
412490,CT,,Sen. Richard Blumenthal [D],Democrat
412491,FL,,Sen. Marco Rubio [R],Republican
412492,KY,,Sen. Rand Paul [R],Republican
412494,ND,,Sen. John Hoeven [R],Republican
412495,UT,,Sen. Mike Lee [R],Republican
412496,WI,,Sen. Ron Johnson [R],Republican
412507,HI,,Sen. Brian Schatz [D],Democrat
412508,AR,,Sen. Tom Cotton [R],Republican
412509,AZ,,Sen. Kyrsten Sinema [D],Democrat
412533,IL,,Sen. Tammy Duckworth [D],Democrat
412542,MA,,Sen. Elizabeth Warren [D],Democrat
412545,ME,,Sen. Angus King [I],Independent
412549,MT,,Sen. Steve Daines [R],Republican
412555,ND,,Sen. Kevin Cramer [R],Republican
412556,NE,,Sen. Deb Fischer [R],Republican
412573,TX,,Sen. Ted Cruz [R],Republican
412582,VA,,Sen. Timothy “Tim” Kaine [D],Democrat
412598,NJ,,Sen. Cory Booker [D],Democrat
412611,AZ,,Sen. Martha McSally [R],Republican
412665,AK,,Sen. Dan Sullivan [R],Republican
412666,GA,,Sen. David Perdue [R],Republican
412667,IA,,Sen. Joni Ernst [R],Republican
412668,NC,,Sen. Thom Tillis [R],Republican
412669,SD,,Sen. Mike Rounds [R],Republican
412671,NE,,Sen. Benjamin Sasse [R],Republican
412678,CA,,Sen. Kamala Harris [D],Democrat
412679,LA,,Sen. John Kennedy [R],Republican
412680,NH,,Sen. Margaret “Maggie” Hassan [D],Democrat
412681,NV,,Sen. Catherine Cortez Masto [D],Democrat
412715,NV,,Sen. Jacky Rosen [D],Democrat
412741,AL,,Sen. Doug Jones [D],Democrat
412742,MN,,Sen. Tina Smith [D],Democrat
412743,MS,,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Sen. Rick Scott [R],Republican
412839,IN,,Sen. Mike Braun [R],Republican
412840,MO,,Sen. Joshua Hawley [R],Republican
412841,UT,,Sen. Mitt Romney [R],Republican
